,name,company,year,Price,kms_driven,fuel_type,Seats,Owner_Type,Engine,Power,Mileage
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,5.0,1,998 CC,58.16 bhp,26.6 km/kg
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,5.0,1,1582 CC,126.2 bhp,19.67 kmpl
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Petrol,7.0,1,1248 CC,88.76 bhp,20.77 kmpl
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,5.0,2,1968 CC,140.8 bhp,15.2 kmpl
4,Ford Figo,Ford,2012,175000,41000,Diesel,5.0,1,1461 CC,63.1 bhp,23.08 kmpl
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,8.0,1,2755 CC,171.5 bhp,11.36 kmpl
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,5.0,1,1598 CC,103.6 bhp,20.54 kmpl
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol,5.0,2,1248 CC,74 bhp,22.3 kmpl
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol,5.0,1,1462 CC,103.25 bhp,21.56 kmpl
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol,5.0,1,1497 CC,116.3 bhp,16.8 kmpl
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Petrol,5.0,1,1248 CC,74 bhp,25.2 kmpl
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,5.0,1,2179 CC,187.7 bhp,12.7 kmpl
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol,5.0,2,2179 CC,115 bhp,0.0 kmpl
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,7.0,1,2477 CC,175.56 bhp,13.5 kmpl
14,Audi A8,Audi,2017,1000000,4000,Petrol,5.0,1,1498 CC,98.6 bhp,25.8 kmpl
15,Audi Q7,Audi,2014,500000,16934,Diesel,5.0,1,1248 CC,74 bhp,28.4 kmpl
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,5.0,1,1461 CC,83.8 bhp,20.45 kmpl
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol,5.0,1,2143 CC,167.62 bhp,14.84 kmpl
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,5.0,1,1995 CC,190 bhp,22.69 kmpl
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,5.0,2,1248 CC,88.5 bhp,23.65 kmpl
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol,5.0,1,1984 CC,177.01 bhp,13.53 kmpl
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,5.0,1,1197 CC,80 bhp,18.5 kmpl
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol,5.0,1,1598 CC,103.6 bhp,14.4 kmpl
